[4646-11]R=401144; MaxAge=314; Rsp=0.028160;(0.012803)(0.006000)(0.009226)(0.000131)
[9008-11]R=401145; MaxAge=112; Rsp=0.028080;(0.012901)(0.005969)(0.009137)(0.000073)
[4646-12]R=401148; MaxAge=314; Rsp=0.028096;(0.012866)(0.005976)(0.009121)(0.000133)
[9008-12]R=401149; MaxAge=111; Rsp=0.028094;(0.012888)(0.006010)(0.009089)(0.000107)
[4646-13]R=401152; MaxAge=312; Rsp=0.027125;(0.012751)(0.006000)(0.008137)(0.000237)
[9008-13]R=401153; MaxAge=110; Rsp=0.028286;(0.012952)(0.005879)(0.009235)(0.000220)
[4646-14]R=401156; MaxAge=312; Rsp=0.026982;(0.012849)(0.005226)(0.008440)(0.000467)
[9008-14]R=401157; MaxAge=110; Rsp=0.026114;(0.012694)(0.005061)(0.008195)(0.000164)
[4646-15]R=401160; MaxAge=311; Rsp=0.027274;(0.012832)(0.005032)(0.009096)(0.000314)
[9008-15]R=401161; MaxAge=109; Rsp=0.027981;(0.012833)(0.005997)(0.009059)(0.000092)
[4646-16]R=401164; MaxAge=309; Rsp=0.028172;(0.012771)(0.005991)(0.009142)(0.000268)
[9008-16]R=401165; MaxAge=109; Rsp=0.028149;(0.012832)(0.005987)(0.009213)(0.000117)
[4646-17]R=401168; MaxAge=309; Rsp=0.027405;(0.012839)(0.005981)(0.008307)(0.000278)
[9008-17]R=401169; MaxAge=107; Rsp=0.027515;(0.013151)(0.005979)(0.008258)(0.000127)
[4646-18]R=401172; MaxAge=307; Rsp=0.028031;(0.012841)(0.005998)(0.009089)(0.000103)
[9008-18]R=401173; MaxAge=106; Rsp=0.026536;(0.012205)(0.005980)(0.008144)(0.000207)
[4646-19]R=401176; MaxAge=307; Rsp=0.028173;(0.012821)(0.006006)(0.009109)(0.000237)
[9008-19]R=401177; MaxAge=106; Rsp=0.027087;(0.012833)(0.005042)(0.009089)(0.000123)
[4646-20]R=401180; MaxAge=306; Rsp=0.027217;(0.012856)(0.005984)(0.008117)(0.000260)
[9008-20]R=401181; MaxAge=105; Rsp=0.028292;(0.012859)(0.006029)(0.009264)(0.000140)
[4646-21]R=401184; MaxAge=306; Rsp=0.027069;(0.012826)(0.005105)(0.009022)(0.000116)
[9008-21]R=401185; MaxAge=105; Rsp=0.028025;(0.012884)(0.006001)(0.009030)(0.000110)
[4646-22]R=401188; MaxAge=306; Rsp=0.027157;(0.012306)(0.005513)(0.009075)(0.000263)
[9008-22]R=401189; MaxAge=106; Rsp=0.027179;(0.012814)(0.005032)(0.009088)(0.000245)
[4646-23]R=401192; MaxAge=304; Rsp=0.027294;(0.012904)(0.005042)(0.009089)(0.000259)
[9008-23]R=401193; MaxAge=103; Rsp=0.028181;(0.012836)(0.006008)(0.009216)(0.000121)
[4646-24]R=401196; MaxAge=303; Rsp=0.028076;(0.012844)(0.005971)(0.009132)(0.000129)
[9008-24]R=401197; MaxAge=103; Rsp=0.027065;(0.012835)(0.005973)(0.008124)(0.000133)
[4646-25]R=401200; MaxAge=302; Rsp=0.028042;(0.012839)(0.006000)(0.009081)(0.000122)
[9008-25]R=401201; MaxAge=103; Rsp=0.028206;(0.012885)(0.006001)(0.009197)(0.000123)
[4646-26]R=401204; MaxAge=303; Rsp=0.027171;(0.012808)(0.005034)(0.009085)(0.000244)
[9008-26]R=401205; MaxAge=104; Rsp=0.026609;(0.012218)(0.005043)(0.009209)(0.000139)
[4646-27]R=401208; MaxAge=302; Rsp=0.028055;(0.012840)(0.005999)(0.009098)(0.000118)
[9008-27]R=401209; MaxAge=101; Rsp=0.028138;(0.012838)(0.006051)(0.009078)(0.000171)
[4646-28]R=401212; MaxAge=301; Rsp=0.028214;(0.012835)(0.006080)(0.009033)(0.000266)
[9008-28]R=401213; MaxAge=100; Rsp=0.028193;(0.012839)(0.005996)(0.009229)(0.000129)
[4646-29]R=401216; MaxAge=300; Rsp=0.027179;(0.012880)(0.005311)(0.008723)(0.000265)
[9008-29]R=401217; MaxAge=99; Rsp=0.028218;(0.012872)(0.005983)(0.009236)(0.000127)
[4646-30]R=401220; MaxAge=298; Rsp=0.028073;(0.012865)(0.005993)(0.009086)(0.000129)
[9008-30]R=401221; MaxAge=99; Rsp=0.028057;(0.012857)(0.006016)(0.009062)(0.000122)
